Formula                         icsd     idk1 idk2
Na2O1Sb2Ti2                     91215  139   SEBR
Na2O1Sb2Ti2                     91214  139   SEBR
Na2O1Sb2Ti2                     91213  139   SEBR
Na2O1Sb2Ti2                     91212  139   SEBR
Na2O1Sb2Ti2                     91211  139   SEBR
Na2O1Sb2Ti2                     91210  139   SEBR
Na2O1Sb2Ti2                     91209  139   SEBR
Na2O1Sb2Ti2                     91208  139   SEBR
Na2O1Sb2Ti2                     91207  139   SEBR
Na2O1Sb2Ti2                     91206  139   SEBR
Na2O1Sb2Ti2                     91205  139   SEBR
Na2O1Sb2Ti2                     91204  139   SEBR
Na2O1Sb2Ti2                     91203  139   SEBR
Na2O1Sb2Ti2                     91202  139   SEBR
Na2O1Sb2Ti2                     69648  139   SEBR
Mo1O4Sr2                       152123  139   SEBR
Mn1Pd3                         104941  139   SEBR
Mg1Pd3                         150228  139   SEBR
La2Sb1                          42733  139   SEBR
La2Sb1                         423290  139   SEBR
La2Sb1                          10442  139   SEBR
La2Ni1O4                        69172  139   SEBR
La2Mn2O3Se2                    181385  139   SEBR
La1Sb1Sc1                      427126  139   SEBR
K2Mg5Sn3                       421342  139   SEBR
In1Pd3                         420251  139   SEBR
Ho1Si3                         710068  139   SEBR
Hg2In2Sr1                      427211  139   SEBR
H2Ba8Bi4O1                     415033  139   SEBR
Ge2Ir2Sr1                      165737  139   SEBR
Ge1Se1U1                        87316  139   SEBR
Fe2Si2Th1                       68209  139   SEBR
Fe2P2Sr1                        10467  139   SEBR
Fe2O6Sr3                        74434  139   SEBR
Fe2O6Sr3                       249015  139   SEBR
Fe2O6Sr3                       249014  139   SEBR
Fe1O4Sr2                        74421  139   SEBR
Fe1O4Sr2                        74420  139   SEBR
Fe1O4Sr2                        74419  139   SEBR
Fe1O4Sr2                        69849  139   SEBR
F4Ni1Rb2                        69682  139   SEBR
F4K2Ni1                         73450  139   SEBR
Cu2Ge2U1                        86002  139   SEBR
Cu2Ge2U1                        86001  139   SEBR
Cu2Ge2U1                        86000  139   SEBR
Cu2Ge2U1                        85999  139   SEBR
Cu2Ge2Sr1                      424224  139   SEBR
Cr1O4Sr2                       245595  139   SEBR
Co2Si2Sr1                      425470  139   SEBR
Cl2Fe2O5Sr3                     99942  139   SEBR
Cl2Fe2O5Sr3                     69871  139   SEBR
Cl2Fe2O5Sr3                     33258  139   SEBR
Cl2Fe2O4Sr3                    174532  139   SEBR
Cl2Co2O5Sr3                     91749  139   SEBR
Cl2Co2O5Sr3                     90123  139   SEBR
Cl2Co2O4Sr3                    251170  139   SEBR
Ce2Sb1                         409587  139   SEBR
Ce2Ga10Pd1                     150461  139   SEBR
Ce2Ga10Ni1                      20525  139   SEBR
Ce1Sc1Si1                      290821  139   SEBR
Ce1Ir2Si2                      411677  139   SEBR
Ce1Co2P2                        85895  139   SEBR
Ce1Co2P2                        85894  139   SEBR
Ce1Co2P2                        85893  139   SEBR
Cd2Ga2Sr1                      370021  139   SEBR
Ca4O1Sb2                        16353  139   SEBR
Ca3Cl2Fe2O5                     69873  139   SEBR
Ca2Pd3Sb4                      416139  139   SEBR
Ca1Si2Zn2                       59649  139   SEBR
Ca1Rh2Si2                      425469  139   SEBR
Ca1P2Rh2                        50185  139   SEBR
Ca1Ni2P2                        10461  139   SEBR
Ca1In1                         414231  139   SEBR
Ca1Ge2Ru2                       52761  139   SEBR
Ca1Ge2Ni2                       81755  139   SEBR
Ca1Ge2Mn2                       81743  139   SEBR
Ca1Ge2Ir2                       52755  139   SEBR
Ca1Fe2P2                        10463  139   SEBR
Ca1Cu2Ge2                       81757  139   SEBR
Ca1Co2Si2                      420974  139   SEBR
Ca1Co2P2                        85892  139   SEBR
Ca1Co2P2                        85891  139   SEBR
Ca1Co2P2                        85890  139   SEBR
Ca1Co2Ge2                       81751  139   SEBR
C2U1                            26478  139   SEBR
C2U1                           202305  139   SEBR
C1B2Ce1Rh2                      95097  139   SEBR
C1B2Ce1Ir2                      95098  139   SEBR
Be1Pd2                         107609  139   SEBR
Be12Mo1                         58717  139   SEBR
Ba6Ge32Rh8                     237677  139   SEBR
Ba3Ge16Ir4                     427108  139   SEBR
Ba3Ge16Ir4                     194235  139   SEBR
Ba3Ge16Ir4                     189363  139   SEBR
Ba2Cu2O12Si4                    71535  139   SEBR
Ba2Bi1                           2141  139   SEBR
Ba1Pd2Sb2                       61197  139   SEBR
Ba1P2Rh2                        50188  139   SEBR
Ba1Mn2Sb2                      419531  139   SEBR
Ba1Mn2P2                        10469  139   SEBR
Ba1Mn1Sb2                      100024  139   SEBR
Ba1Fe2P2                        10468  139   SEBR
Ba1Co2Ge2                      420975  139   SEBR
Ba1Cd2Ge2                      174263  139   SEBR
B2Ir2Zn1                        71642  139   SEBR
Au4Ce1Zn2                      426150  139   SEBR
Au2Ce1Si2                      418530  139   SEBR
As2Rh2Sr1                      417002  139   SEBR
As2Pd2Sr1                       47170  139   SEBR
As2Cu2Sr1                       78756  139   SEBR
As2Ba1Rh2                      416983  139   SEBR
As2Ba1Mn2                       41794  139   SEBR
As2Ba1Cu2                      236307  139   SEBR
As1Ti1Zr1                       92989  139   SEBR
Al8Ca1Cu4                       57539  139   SEBR
Al2Pd5U1                       168816  139   SEBR
Al2Pd5U1                       161313  139   SEBR
Al2Ca1Zn2                       57550  139   SEBR
O3Ru1Sr1                        86940  140   SEBR
Mo1O3Sr1                       174206  140   SEBR
Mg2Pt1                         245120  140   SEBR
Cr1Sb2                          88093  140   SEBR
Cr1Sb2                          86811  140   SEBR
Cl1Ga4La3                      281417  140   SEBR
Ce1Ni9Si4                       98408  140   SEBR
Cd3Sr5                         106369  140   SEBR
Ca5Hg3                         106344  140   SEBR
Ba5Sn3                         100084  140   SEBR
B2Cu2O6Sr1                     247208  140   SEBR
B2Cu2O6Sr1                     247207  140   SEBR
Ni1Ti1                         166370  147   SEBR
Ni1Ti1                         150943  147   SEBR
Pd4Zr3                          54337  148   SEBR
P2Pd15                           1096  148   SEBR
O12Te1Tl6                       37134  148   SEBR
Ni4Ti3                         166373  148   SEBR
Ni4Ti3                         166371  148   SEBR
